"","words","words.1","words.2","words.3"
"462","фасад","термометр","излишне","мозоль (f)"
"463","характеризоваться (i) (+inst)","транспортировка","иллюстрация","мятеж"
"464","хлебнуть (р)","трюм","именины (pl)","набросок"
"465","хлопотать/по-","угодье","инерция","наизусть"
"466","холодок","уцелевший","иностранец","наперекор (+d)"
"467","хорошенько","участница","иронический","нарекание"
"468","хрипеть (i)","имение","искание","насаждение"
"469","христианский","инстинкт","испытанный","насморк"
"470","хромать (i)","интенсивный","истекать/истечь","начинка"
"471","хромой","испанский","истерия","невестка"
"472","худший","извозчик","исток","незваный"
"473","цветущий","исследовательский","истребление","незыблемый"
"474","целесообразность (f)","кавказский","исчерпывать/исчерпать (+a)","неистовый"
"475","человечность (f)","казарма","кабала","неполадка"
"476","чернеть/по-","капкан","каморка","непринуждённый"
"477","чёртов","карьерист","каприз","неразбериха"
"478","чудовище","кастрюля","каторжный","несовместимый"
"479","чужбина","кашель (m)","каучук","неспроста"
"480","шахтёр","кинжал","каяться/рас- (в +pr)","неурядица"
"481","шеренга","кишка","кверху","ничей"
"482","шестнадцатый","клинок","кипа","нрав"
"483","штора","клоун","кит","ныть (i)"
"484","шуршать (i)","клубок","кладка","нюхать/по- (+a)"
"485","авантюрист","кобель (m)","клетчатый","обаяние"
"486","авиационный","кое-какой","климатический","обуздывать/обуздать (+a)"
"487","агитировать (i)","коммерческий","клюква","озабоченный"
"488","акт","коллекционер","кляча","олень (m)"
"489","али","колодец","кобыла","омерзительный"
"490","аргумент","колотить/по- (+a)","колесико","омут"
"491","астрономия","колючка","колечко","опека"
"492","базис","комплект","колыбель (f)","опилки (pl)"
"493","баловаться (i)","конвой","консерватория","оплошность (f)"
"494","бар","коньки (m pl)","консервный","оправа"
"495","бархатный","коньяк","контрреволюционер","опрятный"
"496","спиртной","координировать (i/p) (+a)","кормиться (i) (+inst)","оспаривать/оспорить (+a)"
"497","башмак","копошиться (i)","королева","отборный"
"498","бедно","копчёный","корона","отделываться/отделаться (от +g)"
"499","безвестный","копьё","корыстный","отменный"
"500","безграмотный","королёвский","костяной","отравлять/отравить (+a)"
"501","безделушка","коммунальный","кратковременный","ошеломлять/ошеломить (+a)"
"502","бездельник","космонавт","крашеный","пакетик"
"503","бездонный","краб","кривляться (i)","палисадник"
"504","бережливость (f)","красться (i)","криво","панель (f)"
"505","берёт","кроткий","кружево","пасмурный"
"506","бесплатно","кругозор","крупно","пасынок"
"507","беспрепятственный","кружить (i) (+a)","кудри (pl)","пекло"
"508","бесстрашно","крымский","купанье or купание","пелёнка"
"509","бешенство","кудрявый","купе","передышка"
"510","биолог","курсы (m pl)","ладить/по- (с +inst)","перечень (m)"
"511","биржа","лавина","лебедь (m/f)","перина"
"512","сносить/снести (+a)","лампада","легальный","перрон"
"513","бланк","ландшафт","ледник","пир"
"514","близиться/при-","легкомыслие","лесенка","пирожное"
"515","близорукий","летопись (f)","лесоруб","пищать/пискнуть"
"516","блуждать (i)","ловля","лизать/лизнуть (+a)","пластмасса"
"517","богато","ложный","лимон","плесень (f)"
"518","боеприпасы (pl)","лупа","лиса","плескать/плеснуть"
"519","бойня","люлька","листать (i) (+a)","печень (f)"
"520","боязно (+d) (+inf)","магистраль (f)","лифт","пляж"
"521","брешь (f)","магнит","льгота","побуждать/побудить (+a +inf or к +d)"
"522","булыжник","мамин","льдина","подданный"
"523","буркать/буркнуть","мартовский","любовный","подошва"
"524","валюта","маскировка","медвежий","подсобный"
"525","ватный","мах","меж (+inst or +g)","позитивный"
"526","ввысь","маятник","мёрзнуть/за-","поклонник"
"527","вдогонку","мгновенный","мерить/из- (+a)","покорять/покорить (+a)"
"528","венский","медик","мерцать (i)","половой"
"529","вериться (i) (+d)","медлительный","мех","полтораста"
"530","версия","месть (f)","механизированный","поместье"
"531","вестник","метать/метнуть (+a)","механически","помидор"
"532","устаревать/устареть","метко","мещанский","поощрять/поощрить (+a)"
"533","взрываться/взорваться","механизировать (i/p) (+a)","мещанство","пополам"
"534","взятие","мираж","микроб","поросёнок"
"535","взятка","миф","миндаль (m)","портной"
"536","винить/об- (+a в +pr)","многовековой","минимальный","пословица"
"537","вкусно","мобилизация","многозначительно","послушный"
"538","тонуть/у-","морщина","молот","поставлять/поставить (+a)"
"539","властно","мох","мольба","потеха"
"540","властный","муравей","монархический","похмелье"
"541","влечь (р) (+a)","муть (f)","монопольный","почесть (f)"
"542","водоросль (f)","мысленный","мотаться (i)","пошлый"
"543","возбуждающий","мычать (i)","моторный","православный"
"544","возбуждённо","набат","мотоцикл","прадед"
"545","воздвигать/воздвигнуть (+a)","навеки","мошенник","праздность (f)"
"546","воздействовать (i/p) (на +a)","наглый","мудрец","предосудительный"
"547","возмущать/возмутить (+a)","надстройка","музейный","пресный"
"548","вооружаться/вооружиться","наёмник","мусорный","придираться/придраться (к +d)"
"549","восемнадцатый","наличный","мчать (i) (+a)","приемлемый"
"550","воскресать/воскреснуть","напрямик","навес","признательный"
"551","воспитываться/воспитаться","насаживать/насадить (+a на +a)","навещать/навестить (+a)","прикидываться/прикинуться (+inst)"
"552","вражда","населённый","мясной","приют"
"553","враждебно","насильно","нагрянуть (р)","проворный"
"554","предвыборный","насмерть","надбавка","пролив"
"555","врозь","настораживаться/насторожиться","наёмный","проницательный"
"556","всенощная","насыщать/насытить (+a +inst)","накапливаться/накопиться","просо"
"557","всероссийский","насыщенный","наклон","пруд"
"558","выборный","нате","наподобие (+g)","птенец"
"559","выбывать/выбыть (из +g)","натягивать/натянуть (+a)","наполняться/наполниться (+inst)","пух"
"560","выговаривать/выговорить (+a)","неблагоприятный","нарастание","пыл"
"561","выживать/выжить","невесёлый","населять/населить (+a)","пылесос"
"562","выкидывать/выкинуть (+a)","невесть","наследственный","развод"
"563","выметать/вымести (+a)","невзрачный","насовсем","раздолье"
"564","выплата","неграмотность (f)","наставник","разительный"
"565","выполняться (i)","незаменимый","натворить (р) (+g)","разлад"
"566","выпуклый","неминуемо","наталкиваться/натолкнуться (на +a)","разрозненный"
"567","вышвыривать/вышвырнуть (+a)","необозримый","нахальство","разыгрывать/разыграть (+a)"
"568","гавань (f)","необычно","наяву","раскат"
"569","герб","неосторожный","небосклон","раскаяние"
"570","геройство","неотъемлемый","невмешательство (в +a)","рассудок"
"571","гимнастика","непоправимый","невозможность (f)","растрёпанный"
